Stock Symbol,Float Shares,Current Price,3M Avg Volume
DLHC,6377809,5.49,63348.22222222222
DLNG,17373096,3.69,47362.380952380954
DMRC,13704515,13.46,220040.92063492062
DMYY,2338580,14.45,93619.22222222222
DNTH,10988423,18.83,345530.92063492065
DOYU,11469174,6.62,123382.80952380953
DOMH,7033464,5.306,440495.1111111111
DPRO,5396657,2.79,234548.66666666666
DSP,11164878,14.275,329520.7301587302
DSWL,4587596,2.3275,19191.285714285714
DTI,15508111,2.945,75729.19047619047
DTIL,9173074,5.535,139538.60317460317
DTSQU,5883495,10.45,74.60317460317461
DTSS,3778257,2.326,147975.84126984127
DTST,4161487,3.83,31994.365079365078
DUET,909140,11.3312,0.0
DUETU,909140,11.3,0.0
DUOT,8330911,8.5,108773.90476190476
DYCQ,3825120,10.8,3630.4285714285716
DXR,2110843,9.11,5547.809523809524
EBON,4613934,3.7485,7028.396825396825
EBMT,6666816,16.6,43263.28571428572
ECBK,8226531,16.05,19139.666666666668
ECOR,6251796,5.61,159350.82539682538
EDRY,1297906,8.44,4402.507936507936
EEX,13409052,4.67,124735.73015873016
EDBL,1653675,2.6072,3404809.1428571427
EGRX,9305684,2.25,7056.793650793651
EJH,173739,2.735,499307.3333333333
EGAN,14619492,5.89,52686.1746031746
EKSO,1659226,4.335,146858.87301587302
ELA,6736916,5.71,22431.14285714286
ELAB,1259303,2.15,615499.2222222222
ELLO,3367120,14.6,3622.809523809524
ELTK,3173391,10.04,17356.88888888889
ELSE,1636629,4.2765,30262.031746031746
ELTX,10311923,7.945,41867.39682539683
EMCG,1806066,12.0,2670.967741935484
ELWS,4118052,2.0144,74350.79365079365
EMCGU,1806066,12.1075,0.0
ENSC,1136079,2.455,1734824.9206349207
ENLT,106905,19.8192,17712.73015873016
ENTA,14358649,7.511,195004.39682539683
EPSN,17089029,7.3,68084.12698412698
ESCA,10089770,15.36,17182.984126984127
ESGL,18758347,2.44,32121.095238095237
ESHA,829763,11.28,3373.0158730158732
ESOA,12359643,11.05,224561.6349206349
ESSA,7955368,18.47,19554.174603174604
EUDA,18400048,3.55,91740.38095238095
EURKU,4723619,10.54,227.41935483870967
EVCM,14084854,10.31,178578.50793650793
EVGR,3318418,11.95,876.3064516129032
EVGRU,3318418,12.0,24.161290322580644
EVI,5090343,19.23,16074.825396825398
EVOK,1324768,3.0082,19917.619047619046
EYEN,2869028,3.93,2129448.4603174604
FAT,5472719,2.4478,37873.34920634921
FATBB,5472719,2.52,6103.952380952381
EVTL,16441693,5.035,304638.20634920633
FATBP,5472719,2.87,41886.57142857143
FBRX,2900046,10.61,48452.22222222222
FBYD,4230943,7.0,11525.682539682539
FCUV,6178799,4.0,29919.809523809523
FDSB,4893281,12.39,5685.6349206349205
FEAM,10876842,4.29,26870.20634920635
FEDU,3494351,10.1,6767.580645161291
FEIM,6771624,19.0011,93599.88888888889
FET,10738690,16.425,67113.03174603175
FENC,14370584,8.37,101989.68253968254
FGBIP,6111433,18.8485,1390.4126984126983
FGBI,6111433,9.01,19741.507936507936
FGF,800913,17.325,2834.5714285714284
FGFPP,800913,16.61,1477.4193548387098
FINW,8527264,14.655,20036.460317460318
FKWL,8442376,4.2948,35818.50793650794
FLD,9442543,4.3861,287688.0317460318
FLWS,14318957,5.0,743403.5396825396
FLYX,5225835,2.85,10028.126984126984
FMST,7671588,4.76,581511.3333333334
FNWB,5876997,8.56,14415.603174603175
FONR,6030734,14.49,22313.571428571428
FOR,19091960,19.535,200149.55555555556
FORA,7687002,2.15,15586.031746031746
FORL,1843529,11.4,583.8709677419355
FORD,790667,6.31,38239.269841269845
FORR,11346107,10.1,75420.73015873016
FRD,6133863,16.97,19754.365079365078
FRGT,566652,2.44,1231443.126984127
FRGE,9788257,14.87,131376.20634920636
FSEA,3831368,11.3,12336.57142857143
FSHPU,6650441,10.8,158.0483870967742
FSTR,8498342,19.51,39641.84126984127
FSI,8357363,4.27,34915.19047619047
FTII,1414958,11.7,80.64516129032258
FTCI,8253507,4.254,95975.1746031746
FTIIU,1414958,10.95,0.0
FTK,13728845,14.51,353513.9365079365
FTLF,2901653,14.57,18720.492063492064
FUFU,16605884,3.51,338704.4761904762
FUSB,4330792,12.645,7002.677419354839
FVCB,12114775,11.3,39515.60317460317
GAIA,13548395,4.9743,51475.71428571428
FXNC,6786303,19.765,21886.174603174604
GAMB,17094498,11.95,426432.2698412698
GASS,15772191,6.241,86759.58730158731
GAUZ,11413838,8.17,45585.30158730159
GBNY,1775982,16.57,1224.1935483870968
GDC,12282894,2.64,280270.1904761905
GDST,1962732,11.9,785.483870967742
GDSTU,1962732,10.72,6.161290322580645
GDTC,3593787,2.04,17906.301587301587
GEG,10218111,2.115,16028.619047619048
GENC,10277541,14.2,26402.0
GENK,4230241,4.15,88228.90476190476
GEOS,11745384,6.54,55382.76190476191
GHG,10172754,2.07,26033.174603174604
GHLD,10395943,14.77,13588.952380952382
GHRS,19743559,12.9,183748.3650793651
GHSI,1160582,3.22,0.0
GIFI,14659122,6.775,57075.65079365079
GLAC,6243638,10.82,8112.048387096775
GLACU,6243638,11.0,0.0
GLBZ,2352075,4.7287,5238.619047619048
GLSI,6112523,9.585,77056.26984126984
GLTO,1215565,3.22,269184.6666666667
GMM,2418268,2.69,39854.77777777778
GNTA,11223393,4.0,19349.031746031746
GOCO,5448634,5.93,61250.34920634921
GROW,10414850,2.44,27682.222222222223
GSUN,1287158,3.12,10959.095238095239
GTBP,1545527,2.669,43650.968253968254
GTEC,10983410,2.03,1585510.9047619049
GV,1678421,2.09,1239471.4126984128
GWRS,13204744,10.185,48708.444444444445
GYRE,19717013,8.36,250733.15873015873
GYRO,662461,8.2626,567.741935483871
HAFN,10239405,5.305,1807690.4603174604
HAIAU,591844,11.5,0.0
HAIA,591844,10.86,417.5806451612903
HBB,6387951,18.158,52237.857142857145
HCVI,3276458,11.4,3530.5967741935483
HCVIU,3276458,9.0,614.1129032258065
HFBL,1677057,13.4632,2374.714285714286
HHS,2422087,4.44,18708.14285714286
HLXB,11706071,10.8,22148.126984126986
HMST,15301447,13.005,160520.61904761905
HNNA,4777866,11.15,14070.47619047619
HOFT,10289702,10.87,74166.71428571429
HOLO,3819386,4.84,2947241.714285714
HPAI,6333399,4.75,21414.285714285714
HPK,17989823,11.195,348791.2698412698
HQI,5596080,9.9654,16708.5873015873
HSCS,995735,3.53,23784.301587301587
HSON,2182956,8.9,4462.142857142857
HSPO,1680252,12.11,2004.8387096774193
HSPOU,1680252,11.91,302.16129032258067
HUBC,9728395,2.29,296695.98412698414
HURC,5113015,13.84,22595.79365079365
HVT,13478084,19.61,144998.88888888888
HYMC,19685887,4.19,277532.873015873
HYFM,3586452,3.9701,297302.8253968254
IBAC,10766393,10.44,15469.354838709678
ICCC,6012490,6.62,25581.25396825397
IDAI,1859725,2.12,60897.730158730155
IDR,12315094,13.43,311266.79365079367
IDN,16316219,5.6526,245814.04761904763
IGTA,1242676,12.8,2467.6666666666665
IHT,2093071,2.33,3109.5079365079364
IMCC,1450440,2.845,207978.2857142857
IMMX,18072013,2.27,194525.42857142858
IMPP,11662503,3.105,147564.6349206349
INAB,2515257,3.3113,3086124.111111111
INBX,7712906,13.66,109208.87301587302
INDO,8445619,2.53,192669.47619047618
INFU,18289591,6.0,150406.3015873016
INLX,2933961,11.0,5003.809523809524
INKT,1032883,7.35,5733.761904761905
INMB,15213010,7.6,281893.65079365077
INM,1122091,2.903,1311354.8095238095
INSG,8443705,7.7999,113787.46031746031
INTE,368253,6.0,338.7096774193548
INTG,624239,10.18,1976.032258064516
INTT,10548185,6.2101,42935.80952380953
INTZ,16924956,2.1389,509550.14285714284
INVE,19251706,3.16,54836.19047619047
IPWR,6731832,5.03,17960.88888888889
IOR,364696,18.44,1562.6984126984128
IROHU,5151727,10.92,17.741935483870968
IROH,5151727,10.49,15385.492063492064
ISPO,637953,3.93,31255.190476190477
ISPR,19944950,2.572,56044.444444444445
ISRL,1160401,12.3446,12797.15873015873
ISRLU,1160401,14.4,87.47619047619048
ISSC,12374313,11.75,139367.9365079365
IVCA,1475384,12.0,2378.4193548387098
ISTR,8590024,18.825,30662.809523809523
IVCAU,1475384,11.86,6.338709677419355
IVCB,7392125,11.59,63.096774193548384
IXAQ,2846073,11.57,4378.677419354839
IVDA,2675109,2.34,65948.33333333333
IXAQU,2846073,11.41,17.693548387096776
IZEA,12140754,2.93,55103.30158730159
IZM,7399956,2.4407,35770.88888888889
JAGX,781012,3.93,133506.07936507938
JILL,4965643,16.74,115378.44444444444
JL,1030988,5.3499,24584.349206349205
JMSB,12387394,17.89,21764.031746031746
JRSH,6041316,3.1402,84794.87301587302
JSPR,9908441,5.965,194774.80952380953
JTAI,2519927,4.29,332892.95238095237
JVA,4552836,4.05,169870.85714285713
JVSA,4262487,10.85,31642.825396825396
JYNT,10902613,11.98,76230.15873015873
JVSAU,4262487,11.55,23.80952380952381
JZXN,10960406,4.24,164758.25396825396
KACL,783788,12.33,27.967741935483872
KALA,3851888,4.06,55360.28571428572
KFS,14072586,13.37,66663.90476190476
KFFB,2957473,2.32,2954.031746031746
KGEI,18494480,6.91,101465.25396825396
KINS,12097367,15.26,348560.14285714284
KMDA,9044715,6.8957,95566.77777777778
KORE,7073720,2.575,13518.269841269841
KOSS,5424272,5.9269,60357.50793650794
KPLT,4145295,9.4,38089.142857142855
KPRX,2074267,3.11,421129.2698412698
KPTI,7887109,4.53,114790.6507936508
KRRO,4888127,14.15,135046.92063492062
KSCP,6509304,6.155,293392.8095238095
KTCC,10003374,2.8699,42876.380952380954
KVAC,5787358,11.31,12061.290322580646
KVACU,5787358,11.31,59.67741935483871
KVHI,12904285,5.3922,33100.1746031746
KWE,510470,5.9893,206044.3650793651
KZR,4902630,4.4,28364.11111111111
LASE,9367671,2.3225,112559.8253968254
LAKE,9228179,18.369,85852.93650793651
LCFY,1122016,3.9913,20157.0
LCNB,13313840,14.125,20215.761904761905
LCUT,11856112,3.44,74480.6507936508
LE,11609133,8.06,242513.0158730159
LDWY,1054309,5.2001,6107.555555555556
LEDS,940077,2.8701,50945.90476190476
LEE,3467001,6.76,16846.460317460318
LEGT,19311090,10.62,34614.51612903226
LFCR,19405716,6.97,274417.65079365077
LGCB,995061,2.435,393299.1746031746
LFVN,8566007,12.54,182015.6507936508
LGL,3832756,6.61,4896.870967741936
LICN,693725,4.225,601507.5555555555
LINK,3127548,5.9,10107.095238095239
LIPO,4175897,3.0,79421.36507936507
LITM,5834749,3.6552,1088488.8412698412
LIVE,854859,15.17,14407.269841269841
LMNR,16415149,15.2884,81484.09523809524
LNSR,8495069,13.0784,170143.25396825396
LOAN,8631720,5.15,20244.904761904763
LOVE,11655802,19.405,537193.1746031746
LPA,3182160,7.9398,25677.174603174604
LPAAU,15945038,10.55,558.0645161290323
LPCN,5192520,3.165,30770.73015873016
LSBK,1826632,15.85,4577.206349206349
LSF,7758373,6.805,61988.206349206346
LSTA,7101945,2.705,12810.904761904761
LTRN,8086063,3.3,46566.98412698413
LVRO,8070462,2.53,5857.0317460317465
LUCY,1192394,2.83,1138170.0476190476
LYEL,9573072,12.825,85341.58730158731
LVWR,11499456,5.6348,3761807.746031746
MACI,11835892,10.41,11639.730158730159
MACIU,11835892,10.6,158.06451612903226
MAMO,4846423,2.1,9230.507936507936
MARPS,1611640,3.775,5920.047619047619
MAXN,6770181,3.0524,181729.20634920636
MCFT,9402821,17.82,97958.6507936508
MCRB,6436057,8.1,91535.8253968254
MDBH,4371810,3.79,5300.253968253968
MDRR,652997,11.98,1546.079365079365
MDV,9255662,14.125,46857.4126984127
MEC,14061434,15.15,112912.95238095238
MED,9182474,12.52,225846.85714285713
MEIP,4938576,2.145,7959.079365079365
MFI,12589614,2.3,734190.0158730159
MG,16606995,7.76,168186.96825396825
MFIN,15080079,9.65,43796.71428571428
MGYR,5551685,15.816,5099.238095238095
MHH,3438219,6.62,19292.73015873016
MI,5065150,2.45,27354.126984126986
MIND,7801346,6.86,161664.09523809524
MGRX,8986219,2.04,293629.6984126984
MLEC,897815,7.21,6773.079365079365
MLP,7559277,16.88,19651.238095238095
MNSB,6035212,18.525,21612.174603174604
MODV,9698302,3.9086,4439194.984126984
MOLN,14882000,3.7992,10857.0
MOV,16129333,15.52,232265.96825396825
MPAA,16333990,12.31,116528.90476190476
MPX,10131136,8.3,25684.11111111111
MRBK,6523584,13.2,49726.65079365079
MRAM,13870727,5.855,91220.77777777778
MSGM,2399161,2.72,775145.0952380953
MSSA,2875000,11.5,512.8870967741935
MTEK,4505126,2.5,36278.80952380953
MTEN,2739602,12.0605,156573.6984126984
MKTW,1784764,18.1,33138.47619047619
MTEX,809834,10.0919,3027.031746031746
MULN,402723,7.1292,914671.6507936508
MTR,1863590,5.0889,4982.619047619048
MURA,11282278,2.56,4707539.936507937
MVBF,11831317,19.59,31564.777777777777
MVO,7608860,5.7023,88943.03174603175
MXC,839146,6.75,5209.952380952381
MYNZ,2704032,2.0736,184942.6349206349
NA,3636067,6.9898,78261.14285714286
MYTE,17784440,7.64,208478.37096774194
NAII,4183855,3.41,13028.555555555555
NATR,10238279,14.64,56639.93650793651
NBST,411554,12.49,4.758064516129032
NCPL,1396421,2.6994,97935.55555555556
NDRA,738281,3.44,171235.44444444444
NEGG,2260662,9.71,320055.07936507935
NEON,13052582,10.26,98562.19047619047
NEUE,3781852,6.822,19144.174603174604
NEPH,9243611,3.375,16037.063492063493
NHTC,6810828,4.7,24772.333333333332
NISN,3278032,4.5678,46930.19047619047
NIVF,96149,2.175,2747717.111111111
NL,8295811,6.97,28422.460317460318
NLSP,2085072,2.12,174863.84126984127
NODK,5354100,12.89,18154.26984126984
NRC,13270457,14.79,89670.49206349206
NREF,8405098,15.29,44087.46031746032
NRT,8872320,5.2136,34450.49206349206
NRXP,13277408,3.17,228991.20634920636
NRXS,5090792,2.65,1577090.9047619049
NSPR,16849440,2.5,51270.74603174603
NSYS,913502,8.7977,16883.396825396827
NSTS,4439595,12.402,3740.2063492063494
NTRB,4411784,7.67,47046.28571428572
NTIC,7821371,7.245,31910.714285714286
NTRBW,4411784,2.23,2605.483870967742
NTRP,3887761,3.25,128030.6507936508
NTWK,9958732,2.9154,18024.571428571428
NUKK,3769638,14.05,164550.2380952381
NVAC,604573,12.25,119.62903225806451
NVCT,12936391,8.89,137877.85714285713
NVNO,17374493,3.96,90978.74603174604
NXGL,6440604,2.31,37909.333333333336
NXU,1785011,2.45,359659.8387096774
NYC,959933,9.95,4980.047619047619
NYXH,12785528,7.785,169924.25396825396
OAKU,2471857,11.75,862.9032258064516
OBIO,17413037,3.235,388375.1746031746
OAKUU,2471857,11.61,0.0
OBLG,1105343,3.0019,410313.3968253968
OCC,5687927,2.79,20032.698412698413
OCX,7754982,2.965,56817.90476190476
OCG,12404279,5.87,78802.76190476191
OLB,2238125,2.1708,709134.2063492064
OGEN,698342,3.94,196970.49206349207
ONVO,1286856,2.04,266165.43548387097
OPAL,16811803,3.17,213018.20634920636
OPBK,11539773,12.23,51334.666666666664
OPGN,2828132,4.4,13484.666666666666
OPHC,9518024,4.34,20830.428571428572
ONEW,12693561,15.085,151265.61904761905
OPRX,14305044,14.605,611711.9047619047
OPXS,3590165,9.15,22518.460317460318
OST,1935695,5.93,2750555.396825397
OSS,15450548,3.3043,131837.55555555556
PAL,19554187,7.32,298503.74603174604
OWLT,9443695,6.32,40546.90476190476
PBBK,1877573,16.07,4533.919354838709
PBFS,8066564,11.38,14361.126984126984
PBM,70842,5.41,83324.74603174604
PBHC,3345502,15.25,4101.809523809524
PCB,10705765,19.35,36586.93650793651
